,Unnamed: 0,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1273399,3391148,1671508800,2022-12-20 04:00:00+00:00,ETH-USD,1192.67,1193.17,1192.46,1193.01,119.9935881
1273459,3391208,1671512400,2022-12-20 05:00:00+00:00,ETH-USD,1208.32,1209.31,1207.51,1208.16,229.10190572
1273519,3391268,1671516000,2022-12-20 06:00:00+00:00,ETH-USD,1208.49,1208.8,1208.05,1208.08,55.15583868
1273579,3391328,1671519600,2022-12-20 07:00:00+00:00,ETH-USD,1212.9,1213.67,1212.22,1212.56,534.30722026
1273639,3391388,1671523200,2022-12-20 08:00:00+00:00,ETH-USD,1208.59,1209.23,1207.18,1207.18,342.94896788
1273699,3391448,1671526800,2022-12-20 09:00:00+00:00,ETH-USD,1210.85,1211.98,1210.85,1211.02,196.1855206
1273759,3391508,1671530400,2022-12-20 10:00:00+00:00,ETH-USD,1210.75,1211.4,1210.72,1211.11,123.61995353
1273819,3391568,1671534000,2022-12-20 11:00:00+00:00,ETH-USD,1208.22,1208.61,1208.19,1208.49,70.98627059999998
1273879,3391628,1671537600,2022-12-20 12:00:00+00:00,ETH-USD,1212.2,1213.18,1212.14,1212.98,253.0450246
1273939,3391688,1671541200,2022-12-20 13:00:00+00:00,ETH-USD,1213.49,1214.08,1213.45,1213.62,178.45208725
1273999,3391748,1671544800,2022-12-20 14:00:00+00:00,ETH-USD,1210.72,1211.06,1210.72,1210.94,43.37339773
1274059,3391808,1671548400,2022-12-20 15:00:00+00:00,ETH-USD,1217.76,1221.92,1217.76,1218.47,1753.19531409
1274119,3391868,1671552000,2022-12-20 16:00:00+00:00,ETH-USD,1217.12,1217.94,1216.38,1216.55,404.07697546
1274179,3391928,1671555600,2022-12-20 17:00:00+00:00,ETH-USD,1211.58,1212.99,1211.58,1212.86,204.18168693
1274239,3391988,1671559200,2022-12-20 18:00:00+00:00,ETH-USD,1212.33,1212.76,1211.91,1211.96,123.40717826
1274299,3392048,1671562800,2022-12-20 19:00:00+00:00,ETH-USD,1214.62,1216.46,1214.62,1215.17,828.72404889
1274359,3392108,1671566400,2022-12-20 20:00:00+00:00,ETH-USD,1216.61,1216.7,1216.15,1216.34,45.05495241
1274419,3392168,1671570000,2022-12-20 21:00:00+00:00,ETH-USD,1212.86,1214.18,1212.61,1214.1,186.58831616
1274479,3392228,1671573600,2022-12-20 22:00:00+00:00,ETH-USD,1216.14,1216.14,1215.18,1215.23,50.63741885
1274539,3392288,1671577200,2022-12-20 23:00:00+00:00,ETH-USD,1215.7,1217.47,1215.67,1217.47,157.4574124
1274599,3392348,1671580800,2022-12-21 00:00:00+00:00,ETH-USD,1216.76,1217.31,1216.36,1216.63,877.49055213
1274659,3392408,1671584400,2022-12-21 01:00:00+00:00,ETH-USD,1208.86,1209.35,1207.84,1208.23,323.247861
1274719,3392468,1671588000,2022-12-21 02:00:00+00:00,ETH-USD,1212.28,1212.46,1211.69,1212.33,95.16185878
1274779,3392528,1671591600,2022-12-21 03:00:00+00:00,ETH-USD,1210.53,1210.73,1210.38,1210.67,39.72222226
1274839,3392588,1671595200,2022-12-21 04:00:00+00:00,ETH-USD,1210.45,1210.92,1210.01,1210.67,155.15731946
1274899,3392648,1671598800,2022-12-21 05:00:00+00:00,ETH-USD,1207.07,1207.14,1204.69,1206.47,1147.83066004
1274959,3392708,1671602400,2022-12-21 06:00:00+00:00,ETH-USD,1210.76,1211.41,1210.67,1211.31,82.81756711
1275019,3392768,1671606000,2022-12-21 07:00:00+00:00,ETH-USD,1211.44,1211.66,1210.98,1211.29,462.05857697
1275079,3392828,1671609600,2022-12-21 08:00:00+00:00,ETH-USD,1210.96,1211.1,1210.38,1210.55,162.71883327
1275139,3392888,1671613200,2022-12-21 09:00:00+00:00,ETH-USD,1215.18,1215.58,1214.83,1215.01,94.06194545
1275199,3392948,1671616800,2022-12-21 10:00:00+00:00,ETH-USD,1215.2,1215.45,1214.95,1215.15,142.9189833
1275259,3393008,1671620400,2022-12-21 11:00:00+00:00,ETH-USD,1216.63,1216.98,1216.27,1216.66,108.09100677
1275319,3393068,1671624000,2022-12-21 12:00:00+00:00,ETH-USD,1216.54,1217.28,1216.35,1216.83,217.52861294
1275379,3393128,1671627600,2022-12-21 13:00:00+00:00,ETH-USD,1213.09,1213.56,1213.01,1213.5,113.87866694
1275439,3393188,1671631200,2022-12-21 14:00:00+00:00,ETH-USD,1215.01,1215.04,1214.63,1214.7,65.42740393
1275499,3393248,1671634800,2022-12-21 15:00:00+00:00,ETH-USD,1211.43,1212.93,1209.66,1210.52,1044.09638335
1275559,3393308,1671638400,2022-12-21 16:00:00+00:00,ETH-USD,1215.68,1215.97,1215.64,1215.72,181.12045808
1275619,3393368,1671642000,2022-12-21 17:00:00+00:00,ETH-USD,1208.47,1209.8,1208.01,1209.58,758.80630506
1275679,3393428,1671645600,2022-12-21 18:00:00+00:00,ETH-USD,1211.42,1211.44,1210.88,1211.2,156.12008497
1275739,3393488,1671649200,2022-12-21 19:00:00+00:00,ETH-USD,1209.59,1209.96,1209.43,1209.81,195.9222654
1275799,3393548,1671652800,2022-12-21 20:00:00+00:00,ETH-USD,1208.56,1208.56,1207.51,1207.57,200.8287634
1275859,3393608,1671656400,2022-12-21 21:00:00+00:00,ETH-USD,1209.5,1210.34,1209.24,1209.3,772.31496314
